project_id,parcel_id,legal_amount,closing_cost_amount,title_insurance_amount,commission_amount,total_transaction_costs,net_sale_proceeds,gross_sale_proceeds
156,851,,,,51773.72,101773.72,1624016.79,1725790.50
156,852,,,,81523.06,131523.06,2585912.14,2717435.20
156,853,,,,268541.48,318541.48,8632841.12,8951382.60
156,854,,,,120490.02,170490.02,3845843.98,4016334.00
156,855,,,,123932.59,173932.59,3957153.81,4131086.40
156,856,,,,163694.64,213694.64,5242793.41,5456488.05
156,857,,,,62128.46,112128.46,1958820.14,2070948.60
156,858,,,,71332.67,121332.67,2256423.13,2377755.80
156,860,,,,84152.83,134152.83,2670941.57,2805094.40
156,861,,,,235224.00,285224.00,7555576.00,7840800.00
156,862,,,,128641.53,178641.53,4109409.37,4288050.90
156,863,,,,108772.31,158772.31,3466971.29,3625743.60
156,864,,,,102184.29,152184.29,3253958.86,3406143.15
156,865,,,,91110.83,141110.83,2895916.68,3037027.50
156,866,,,,126714.13,176714.13,4047090.27,4223804.40
156,867,,,,126153.45,176153.45,4028961.55,4205115.00
156,868,,,,120546.63,170546.63,3847674.37,4018221.00
156,869,,,,244613.73,294613.73,7859177.23,8153790.96
156,870,,,,160163.75,210163.75,5128627.95,5338791.70
156,871,,,,131199.59,181199.59,4192120.01,4373319.60
156,872,,,,444276.63,494276.63,14314944.28,14809220.91
156,873,,,,268292.96,318292.96,8624805.64,8943098.60
156,875,,,,141786.96,191786.96,4534445.04,4726232.00
156,876,,,,103959.90,153959.90,3311370.10,3465330.00
156,879,,,,836352.00,886352.00,26992048.00,27878400.00
156,880,,,,444312.00,494312.00,14316088.00,14810400.00
156,881,,,,509652.00,559652.00,16428748.00,16988400.00
156,882,,,,588060.00,638060.00,18963940.00,19602000.00
156,883,,,,784080.00,834080.00,25301920.00,26136000.00
156,885,,,,117779.90,167779.90,3758216.90,3925996.80
157,887,,,,194459.52,244459.52,6237524.48,6481984.00
157,888,,,,149490.76,199490.76,4783534.44,4983025.20
157,889,,,,136729.35,186729.35,4370915.65,4557645.00
157,890,,,,339768.00,389768.00,10935832.00,11325600.00
157,891,,,,352836.00,402836.00,11358364.00,11761200.00
157,892,,,,100795.97,150795.97,3209069.63,3359865.60
157,893,,,,112364.74,162364.74,3583126.46,3745491.20
157,894,,,,51773.72,101773.72,1624016.79,1725790.50
157,895,,,,81523.06,131523.06,2585912.14,2717435.20
157,896,,,,268541.48,318541.48,8632841.12,8951382.60
157,897,,,,120490.02,170490.02,3845843.98,4016334.00
157,898,,,,123932.59,173932.59,3957153.81,4131086.40
157,899,,,,163694.64,213694.64,5242793.41,5456488.05
157,900,,,,62128.46,112128.46,1958820.14,2070948.60
157,901,,,,71332.67,121332.67,2256423.13,2377755.80
157,903,,,,84152.83,134152.83,2670941.57,2805094.40
157,904,,,,235224.00,285224.00,7555576.00,7840800.00
157,905,,,,128641.53,178641.53,4109409.37,4288050.90
157,906,,,,108772.31,158772.31,3466971.29,3625743.60
157,907,,,,102184.29,152184.29,3253958.86,3406143.15
157,908,,,,91110.83,141110.83,2895916.68,3037027.50
157,909,,,,126714.13,176714.13,4047090.27,4223804.40
157,910,,,,126153.45,176153.45,4028961.55,4205115.00
157,911,,,,120546.63,170546.63,3847674.37,4018221.00
157,912,,,,244613.73,294613.73,7859177.23,8153790.96
157,913,,,,160163.75,210163.75,5128627.95,5338791.70
157,914,,,,131199.59,181199.59,4192120.01,4373319.60
157,915,,,,444276.63,494276.63,14314944.28,14809220.91
157,916,,,,268292.96,318292.96,8624805.64,8943098.60
157,918,,,,141786.96,191786.96,4534445.04,4726232.00
157,919,,,,103959.90,153959.90,3311370.10,3465330.00
157,922,,,,836352.00,886352.00,26992048.00,27878400.00
157,923,,,,444312.00,494312.00,14316088.00,14810400.00
157,924,,,,509652.00,559652.00,16428748.00,16988400.00
157,925,,,,588060.00,638060.00,18963940.00,19602000.00
157,926,,,,784080.00,834080.00,25301920.00,26136000.00
157,928,,,,117779.90,167779.90,3758216.90,3925996.80
158,930,,,,194459.52,244459.52,6237524.48,6481984.00
158,931,,,,149490.76,199490.76,4783534.44,4983025.20
158,932,,,,136729.35,186729.35,4370915.65,4557645.00
158,933,,,,339768.00,389768.00,10935832.00,11325600.00
158,934,,,,352836.00,402836.00,11358364.00,11761200.00
158,935,,,,100795.97,150795.97,3209069.63,3359865.60
158,936,,,,112364.74,162364.74,3583126.46,3745491.20
158,937,,,,51773.72,101773.72,1624016.79,1725790.50
158,938,,,,81523.06,131523.06,2585912.14,2717435.20
158,939,,,,268541.48,318541.48,8632841.12,8951382.60
158,940,,,,120490.02,170490.02,3845843.98,4016334.00
158,941,,,,123932.59,173932.59,3957153.81,4131086.40
158,942,,,,163694.64,213694.64,5242793.41,5456488.05
158,943,,,,62128.46,112128.46,1958820.14,2070948.60
158,944,,,,71332.67,121332.67,2256423.13,2377755.80
158,946,,,,84152.83,134152.83,2670941.57,2805094.40
158,947,,,,235224.00,285224.00,7555576.00,7840800.00
158,948,,,,128641.53,178641.53,4109409.37,4288050.90
158,949,,,,108772.31,158772.31,3466971.29,3625743.60
158,950,,,,102184.29,152184.29,3253958.86,3406143.15
158,951,,,,91110.83,141110.83,2895916.68,3037027.50
158,952,,,,126714.13,176714.13,4047090.27,4223804.40
158,953,,,,126153.45,176153.45,4028961.55,4205115.00
158,954,,,,120546.63,170546.63,3847674.37,4018221.00
158,955,,,,244613.73,294613.73,7859177.23,8153790.96
158,956,,,,160163.75,210163.75,5128627.95,5338791.70
158,957,,,,131199.59,181199.59,4192120.01,4373319.60
158,958,,,,444276.63,494276.63,14314944.28,14809220.91
158,959,,,,268292.96,318292.96,8624805.64,8943098.60
158,961,,,,141786.96,191786.96,4534445.04,4726232.00
158,962,,,,103959.90,153959.90,3311370.10,3465330.00
158,965,,,,836352.00,886352.00,26992048.00,27878400.00
158,966,,,,444312.00,494312.00,14316088.00,14810400.00
158,967,,,,509652.00,559652.00,16428748.00,16988400.00
158,968,,,,588060.00,638060.00,18963940.00,19602000.00
158,969,,,,784080.00,834080.00,25301920.00,26136000.00
158,971,,,,117779.90,167779.90,3758216.90,3925996.80
159,973,,,,194459.52,244459.52,6237524.48,6481984.00
159,974,,,,149490.76,199490.76,4783534.44,4983025.20
159,975,,,,136729.35,186729.35,4370915.65,4557645.00
159,976,,,,339768.00,389768.00,10935832.00,11325600.00
159,977,,,,352836.00,402836.00,11358364.00,11761200.00
159,978,,,,100795.97,150795.97,3209069.63,3359865.60
159,979,,,,112364.74,162364.74,3583126.46,3745491.20
159,980,,,,51773.72,101773.72,1624016.79,1725790.50
159,981,,,,81523.06,131523.06,2585912.14,2717435.20
159,982,,,,268541.48,318541.48,8632841.12,8951382.60
159,983,,,,120490.02,170490.02,3845843.98,4016334.00
159,984,,,,123932.59,173932.59,3957153.81,4131086.40
159,985,,,,163694.64,213694.64,5242793.41,5456488.05
159,986,,,,62128.46,112128.46,1958820.14,2070948.60
159,987,,,,71332.67,121332.67,2256423.13,2377755.80
159,989,,,,84152.83,134152.83,2670941.57,2805094.40
159,990,,,,235224.00,285224.00,7555576.00,7840800.00
159,991,,,,128641.53,178641.53,4109409.37,4288050.90
159,992,,,,108772.31,158772.31,3466971.29,3625743.60
159,993,,,,102184.29,152184.29,3253958.86,3406143.15
159,994,,,,91110.83,141110.83,2895916.68,3037027.50
159,995,,,,126714.13,176714.13,4047090.27,4223804.40
159,996,,,,126153.45,176153.45,4028961.55,4205115.00
