property_type,field_key,Label,Type,Required,Default,extractability,extract_policy,source_priority,scope,evidence_types,db_write_type,match_type,match_score,candidate_tables,candidate_column,db_target_example,resolved_table,resolved_column,resolution_reason,resolved,selector_json,db_target
land_development,acres_roads_row,Roads/ROW Acres,decimal,—,—,medium,propose_for_validation,doc>user>benchmark,project,offering_memorandum,row_allocation,exact,1.0,tbl_acreage_allocation,acres,tbl_acreage_allocation.acres,tbl_acreage_allocation,acres,PATCHED_v3_row_allocation,True,"{""allocation_type_code"": ""roads_row""}",tbl_acreage_allocation.acres
land_development,acres_amenity,Amenity Acres,decimal,—,—,medium,propose_for_validation,doc>user>benchmark,project,offering_memorandum,row_allocation,exact,1.0,tbl_acreage_allocation,acres,tbl_acreage_allocation.acres,tbl_acreage_allocation,acres,PATCHED_v3_row_allocation,True,"{""allocation_type_code"": ""amenity""}",tbl_acreage_allocation.acres
land_development,acres_commercial,Commercial Acres,decimal,—,—,medium,propose_for_validation,doc>user>benchmark,project,offering_memorandum,row_allocation,exact,1.0,tbl_acreage_allocation,acres,tbl_acreage_allocation.acres,tbl_acreage_allocation,acres,PATCHED_v3_row_allocation,True,"{""allocation_type_code"": ""commercial""}",tbl_acreage_allocation.acres
land_development,acres_school,School Site Acres,decimal,—,—,low,propose_for_validation,doc>user>benchmark,project,offering_memorandum,row_allocation,exact,1.0,tbl_acreage_allocation,acres,tbl_acreage_allocation.acres,tbl_acreage_allocation,acres,PATCHED_v3_row_allocation,True,"{""allocation_type_code"": ""school""}",tbl_acreage_allocation.acres
land_development,topography,Topography,text,—,—,low,user_only,user>doc>benchmark,project,offering_memorandum,column,exact,1.0,tbl_project,topography,tbl_project.topography,tbl_project,topography,NEEDS_COLUMN_ADD,False,,tbl_project.topography
land_development,flood_zone,Flood Zone,text,—,—,medium,propose_for_validation,doc>user>benchmark,project,offering_memorandum,column,exact,1.0,tbl_project,flood_zone,tbl_project.flood_zone,tbl_project,flood_zone,NEEDS_COLUMN_ADD,False,,tbl_project.flood_zone
land_development,overlay_zones,Overlay Zones,json,—,—,medium,propose_for_validation,doc>user>benchmark,project,"entitlement_docs,municipal_records",column,exact,1.0,tbl_project,overlay_zones,tbl_project.overlay_zones,tbl_project,overlay_zones,NEEDS_COLUMN_ADD,False,,tbl_project.overlay_zones
land_development,current_zoning,Current Zoning,text,✓,—,high,propose_for_validation,doc>user>benchmark,project,"entitlement_docs,municipal_records,offering_memorandum",column,exact,1.0,tbl_project,current_zoning,tbl_project.current_zoning,tbl_project,current_zoning,ranked_candidates,True,,tbl_project.current_zoning
land_development,proposed_zoning,Proposed Zoning,text,—,—,high,propose_for_validation,doc>user>benchmark,project,"entitlement_docs,municipal_records",column,exact,1.0,tbl_project,proposed_zoning,tbl_project.proposed_zoning,tbl_project,proposed_zoning,ranked_candidates,True,,tbl_project.proposed_zoning
land_development,general_plan_designation,General Plan,text,—,—,high,propose_for_validation,doc>user>benchmark,project,offering_memorandum,column,exact,1.0,tbl_project,general_plan,tbl_project.general_plan,tbl_project,general_plan,ranked_candidates,True,,tbl_project.general_plan
land_development,total_lots,Total Lots/Units,integer,✓,—,high,propose_for_validation,doc>user>benchmark,project,offering_memorandum,column,exact,1.0,tbl_project,target_units,tbl_project.target_units,tbl_project,target_units,override_identity,True,,tbl_project.target_units
land_development,product_type_name,Product Type Name,text,✓,—,high,propose_for_validation,doc>user>benchmark,lot_or_product,offering_memorandum,column,exact,1.0,tbl_lot,product_type,tbl_lot.product_type,tbl_lot,product_type,ranked_candidates,True,,tbl_lot.product_type
land_development,lot_count,Lot Count (per product),integer,✓,—,high,propose_for_validation,doc>user>benchmark,lot_or_product,offering_memorandum,column,exact,1.0,tbl_lot,lot_count,tbl_lot.lot_count,tbl_lot,lot_count,ranked_candidates,True,,tbl_lot.lot_count
land_development,lot_size_avg,Avg Lot Size (SF),integer,—,—,high,propose_for_validation,doc>user>benchmark,lot_or_product,offering_memorandum,column,exact,1.0,tbl_lot,avg_lot_sf,tbl_lot.avg_lot_sf,tbl_lot,avg_lot_sf,ranked_candidates,True,,tbl_lot.avg_lot_sf
land_development,lot_width_avg,Avg Lot Width (ft),integer,—,—,medium,propose_for_validation,doc>user>benchmark,lot_or_product,offering_memorandum,column,exact,1.0,tbl_lot,avg_lot_width,tbl_lot.avg_lot_width,tbl_lot,avg_lot_width,ranked_candidates,True,,tbl_lot.avg_lot_width
land_development,lot_price,Lot Sale Price,currency,✓,—,high,propose_for_validation,doc>user>benchmark,lot_or_product,offering_memorandum,column,exact,1.0,tbl_lot,base_lot_price,tbl_lot.base_lot_price,tbl_lot,base_lot_price,ranked_candidates,True,,tbl_lot.base_lot_price
land_development,lot_premium_avg,Avg Lot Premium,currency,—,0,medium,propose_for_validation,doc>user>benchmark,lot_or_product,offering_memorandum,column,exact,1.0,tbl_lot,avg_premium,tbl_lot.avg_premium,tbl_lot,avg_premium,ranked_candidates,True,,tbl_lot.avg_premium
land_development,absorption_monthly,Monthly Absorption (lots),decimal,—,—,medium,propose_for_validation,doc>user>benchmark,lot_or_product,"comp_report,market_data",column,exact,1.0,tbl_lot,absorption_rate,tbl_lot.absorption_rate,tbl_lot,absorption_rate,ranked_candidates,True,,tbl_lot.absorption_rate
land_development,acquisition_price,Acquisition Price,currency,✓,—,high,propose_for_validation,doc>user>benchmark,project,offering_memorandum,column,exact,1.0,tbl_project,acquisition_price,tbl_project.acquisition_price,tbl_project,acquisition_price,override_identity,True,,tbl_project.acquisition_price
land_development,acquisition_date,Acquisition Date,date,—,—,medium,propose_for_validation,doc>user>benchmark,project,offering_memorandum,column,exact,1.0,tbl_project,acquisition_date,tbl_project.acquisition_date,tbl_project,acquisition_date,override_identity,True,,tbl_project.acquisition_date
land_development,price_per_acre,Price Per Gross Acre,currency,—,Calc,medium,propose_for_validation,doc>user>benchmark,project,offering_memorandum,row_assumption,exact,1.0,tbl_project_assumption,assumption_value,tbl_project_assumption.assumption_value,tbl_project_assumption,assumption_value,row_based_assumption,True,"{""assumption_key"": ""price_per_acre"", ""scope"": ""project""}",tbl_project_assumption.assumption_value
